-0.8,-0.6,-0.6,-0.4,-0.4,-0.2,-0.2,0.0,0.0,-0.2,0.0,0.0,0.2,0.2,0.4,0.4,0.4,0.6,0.6,0.8,0.8,1.0,1.2,1.2,1.6,
-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,-0.4,-0.3,-0.2,-0.1,0.0,-0.2,-0.1,0.0,0.0,
0.56,0.18,-0.54,-0.62,-0.44,-0.22,0.86,1.38,3.36,0.56,0.18,-0.54,-0.62,-0.44,-0.22,0.86,0.56,0.18,-0.54,-0.62,-0.44,0.56,0.18,-0.54,0.56,
0.56,0.252,-0.3,-0.308,-0.68,-0.388,-0.58,0.012,0.0,0.14,0.012,0.0,0.172,0.34,0.812,1.16,-0.28,-0.228,0.3,0.652,1.36,-0.7,-0.468,0.6,-1.12,
0.56,0.212,0.3,0.052,0.12,-0.028,0.02,-0.028,0.0,-0.36,-0.428,-0.3,-0.268,-0.16,-0.028,0.06,-0.48,-0.268,-0.1,0.212,0.36,0.2,0.692,0.9,1.68,
0.56,0.28,-0.3,-0.4,-0.68,-0.6,-0.58,-0.32,0.0,0.42,0.2,-0.2,-0.24,-0.34,-0.2,0.0,0.28,0.12,-0.1,-0.08,0.0,0.14,0.04,0.0,0.0,
0.56,0.28,0.3,0.1,0.12,0.0,0.02,-0.02,0.0,-0.18,-0.3,-0.2,-0.24,-0.14,-0.1,0.0,-0.52,-0.48,-0.3,-0.18,0.0,-0.46,-0.26,0.0,0.0,
0.56,0.416,0.3,0.196,0.12,0.056,0.02,-0.004,0.0,0.3,0.196,0.12,0.056,0.02,-0.004,0.0,0.12,0.056,0.02,-0.004,0.0,0.02,-0.004,0.0,0.0,

1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
-0.8,-0.6,-0.8,-0.6,-0.8,-0.6,-0.8,-0.6,-0.8,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.8,1.0,0.8,1.0,0.8,1.6,1.8,1.6,2.4,
-0.8,-0.6,-0.2,0.0,0.4,0.6,1.0,1.2,1.6,-0.6,-0.4,0.0,0.2,0.6,0.8,1.2,-0.4,-0.2,0.2,0.4,0.8,-0.2,0.0,0.4,0.0,
0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.0,0.6,0.5,0.4,0.3,0.2,0.1,0.0,0.4,0.3,0.2,0.1,0.0,0.2,0.1,0.0,0.0,
0.56,0.18,0.56,0.18,0.56,0.18,0.56,0.18,0.56,-0.54,-0.62,-0.54,-0.62,-0.54,-0.62,-0.54,-0.44,-0.22,-0.44,-0.22,-0.44,0.86,1.38,0.86,3.36,
0.56,0.252,0.14,0.012,-0.28,-0.228,-0.7,-0.468,-1.12,-0.3,-0.308,0.0,0.172,0.3,0.652,0.6,-0.68,-0.388,0.34,0.812,1.36,-0.58,0.012,1.16,0.0,
0.56,0.212,-0.36,-0.428,-0.48,-0.268,0.2,0.692,1.68,0.3,0.052,-0.3,-0.268,-0.1,0.212,0.9,0.12,-0.028,-0.16,-0.028,0.36,0.02,-0.028,0.06,0.0,
-0.56,-0.28,-0.42,-0.2,-0.28,-0.12,-0.14,-0.04,0.0,0.3,0.4,0.2,0.24,0.1,0.08,0.0,0.68,0.6,0.34,0.2,0.0,0.58,0.32,0.0,0.0,
-0.56,-0.28,0.18,0.3,0.52,0.48,0.46,0.26,0.0,-0.3,-0.1,0.2,0.24,0.3,0.18,0.0,-0.12,0.0,0.14,0.1,0.0,-0.02,0.02,0.0,0.0,
