25,53,57,-1,
25,57,29,-1,
29,57,60,-1,
29,60,32,-1,
32,60,62,-1,
32,62,34,-1,
34,62,63,-1,
34,63,35,-1,
42,69,48,-1,
48,69,74,-1,
48,74,53,-1,
53,74,78,-1,
53,78,57,-1,
57,78,81,-1,
57,81,60,-1,
60,81,83,-1,
60,83,62,-1,
62,83,84,-1,
62,84,63,-1,
69,89,74,-1,
74,89,93,-1,
74,93,78,-1,
78,93,96,-1,
78,96,81,-1,
81,96,98,-1,
81,98,83,-1,
83,98,99,-1,
83,99,84,-1,
89,103,93,-1,
93,103,106,-1,
93,106,96,-1,
96,106,108,-1,
96,108,98,-1,
98,108,109,-1,
98,109,99,-1,
103,112,106,-1,
106,112,114,-1,
106,114,108,-1,
108,114,115,-1,
108,115,109,-1,
112,117,114,-1,
114,117,118,-1,
114,118,115,-1,
117,119,118,-1,
